<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	2064.593	2066.002	2062.633	2063.543	1988	0	377
2024.01.02	00:00:00	2063.347	2065.773	2062.165	2065.340	2816	0	368
2024.01.02	01:00:00	2065.341	2069.900	2064.861	2066.536	4592	0	199
2024.01.02	02:00:00	2066.512	2068.267	2063.861	2067.669	3139	0	367
2024.01.02	03:00:00	2067.693	2070.338	2066.387	2069.487	2757	0	368
2024.01.02	04:00:00	2069.492	2070.666	2068.823	2069.500	2452	0	367
2024.01.02	05:00:00	2069.567	2074.731	2069.370	2074.310	3119	0	368
2024.01.02	06:00:00	2074.307	2076.662	2072.805	2074.141	3297	0	369
2024.01.02	07:00:00	2074.076	2076.358	2073.065	2073.065	3587	0	368
2024.01.02	08:00:00	2073.130	2074.403	2071.700	2073.218	3606	0	368
2024.01.02	09:00:00	2073.274	2078.877	2073.185	2077.032	3513	0	200
2024.01.02	10:00:00	2077.048	2077.753	2073.447	2075.949	4164	0	199
2024.01.02	11:00:00	2075.936	2076.180	2068.217	2069.221	5319	0	199
2024.01.02	12:00:00	2069.177	2069.498	2065.015	2067.869	5213	0	199
2024.01.02	13:00:00	2067.829	2071.026	2064.797	2066.248	7268	0	199
2024.01.02	14:00:00	2066.306	2070.373	2062.134	2070.325	8940	0	199
2024.01.02	15:00:00	2070.366	2070.687	2056.099	2059.306	11516	0	199
2024.01.02	16:00:00	2059.336	2067.580	2059.095	2066.095	6587	0	199
2024.01.02	17:00:00	2066.041	2066.898	2061.791	2062.681	4590	0	199
2024.01.02	18:00:00	2062.724	2064.933	2060.520	2061.160	4007	0	199
2024.01.02	19:00:00	2061.158	2062.176	2060.405	2060.946	3416	0	200
2024.01.02	20:00:00	2060.990	2061.579	2057.837	2058.143	3501	0	199
2024.01.02	21:00:00	2058.150	2059.232	2057.993	2058.855	2097	0	199
2024.01.02	23:00:00	2058.797	2059.874	2058.412	2059.476	1872	0	599
2024.01.03	00:00:00	2059.448	2062.108	2059.226	2060.197	3393	0	199
2024.01.03	01:00:00	2060.185	2062.557	2059.434	2062.379	4226	0	199
2024.01.03	02:00:00	2062.410	2065.189	2061.596	2064.694	3856	0	199
