time,action,entry,exit,outcome,pnl_dollars,balance
2026-01-14 20:30:00,SHORT,4629.61,4614.61,WIN,150.0,10150.0
2026-01-14 20:35:00,SHORT,4618.68,4609.28,LOSS,94.00000000000546,10244.000000000005
2026-01-14 20:45:00,SHORT,4607.8,4606.08,LOSS,17.200000000002547,10261.200000000008
2026-01-15 12:05:00,LONG,4604.73,4608.58,LOSS,38.50000000000364,10299.700000000012
2026-01-15 12:15:00,LONG,4609.1,4604.1,LOSS,-50.0,10249.700000000012
2026-01-15 16:35:00,LONG,4618.02,4613.02,LOSS,-50.0,10199.700000000012
2026-01-15 19:15:00,SHORT,4605.38,4610.38,LOSS,-50.0,10149.700000000012
2026-01-15 19:30:00,SHORT,4595.18,4600.18,LOSS,-50.0,10099.700000000012
2026-01-16 02:05:00,SHORT,4605.92,4610.92,LOSS,-50.0,10049.700000000012
2026-01-16 06:00:00,SHORT,4606.85,4596.45,LOSS,104.00000000000546,10153.700000000017
2026-01-16 06:30:00,SHORT,4603.94,4594.82,LOSS,91.19999999999891,10244.900000000016
2026-01-19 05:00:00,LONG,4649.1,4656.83,LOSS,77.29999999999563,10322.200000000012
2026-01-19 05:15:00,LONG,4663.88,4658.88,LOSS,-50.0,10272.200000000012
2026-01-19 05:20:00,LONG,4673.37,4668.37,LOSS,-50.0,10222.200000000012
2026-01-19 12:30:00,LONG,4674.75,4669.75,LOSS,-50.0,10172.200000000012
2026-01-19 12:50:00,LONG,4676.58,4671.58,LOSS,-50.0,10122.200000000012
2026-01-19 13:10:00,SHORT,4669.84,4669.13,LOSS,7.100000000000364,10129.300000000012
2026-01-19 13:15:00,SHORT,4664.6,4669.6,LOSS,-50.0,10079.300000000012
2026-01-19 18:15:00,LONG,4670.28,4665.28,LOSS,-50.0,10029.300000000012
2026-01-19 21:35:00,LONG,4669.75,4675.6,LOSS,58.50000000000364,10087.800000000016
2026-01-19 21:45:00,LONG,4672.58,4676.12,LOSS,35.399999999999636,10123.200000000015
2026-01-19 21:50:00,LONG,4675.01,4670.01,LOSS,-50.0,10073.200000000015
2026-01-20 06:10:00,SHORT,4668.14,4673.14,LOSS,-50.0,10023.200000000015
2026-01-20 06:15:00,SHORT,4665.73,4670.73,LOSS,-50.0,9973.200000000015
2026-01-20 06:20:00,SHORT,4664.3,4669.3,LOSS,-50.0,9923.200000000015
2026-01-20 06:25:00,SHORT,4659.85,4664.85,LOSS,-50.0,9873.200000000015
2026-01-20 07:00:00,LONG,4668.46,4679.77,LOSS,113.100000000004,9986.30000000002
2026-01-20 07:30:00,LONG,4674.61,4686.12,LOSS,115.10000000000218,10101.400000000021
2026-01-20 09:30:00,LONG,4675.68,4690.68,WIN,150.0,10251.400000000021
2026-01-20 09:50:00,LONG,4680.28,4695.28,WIN,150.0,10401.400000000021
2026-01-20 10:15:00,LONG,4682.73,4697.73,WIN,150.0,10551.400000000021
2026-01-20 11:30:00,LONG,4704.93,4719.93,WIN,150.0,10701.400000000021
2026-01-20 11:45:00,LONG,4707.5,4722.5,WIN,150.0,10851.400000000021
2026-01-20 11:50:00,LONG,4710.05,4725.05,WIN,150.0,11001.400000000021
2026-01-20 11:55:00,LONG,4714.64,4729.64,WIN,150.0,11151.400000000021
2026-01-20 22:00:00,LONG,4731.25,4746.25,WIN,150.0,11301.400000000021
2026-01-20 22:10:00,LONG,4741.49,4756.49,WIN,150.0,11451.400000000021
2026-01-20 22:35:00,LONG,4744.94,4759.94,WIN,150.0,11601.400000000021
2026-01-20 22:45:00,LONG,4748.74,4763.74,WIN,150.0,11751.400000000021
2026-01-21 05:10:00,LONG,4758.32,4773.32,WIN,150.0,11901.400000000021
2026-01-21 05:35:00,LONG,4763.31,4778.31,WIN,150.0,12051.400000000021
2026-01-21 05:40:00,LONG,4774.15,4789.15,WIN,150.0,12201.400000000021
2026-01-21 06:30:00,LONG,4782.22,4797.22,WIN,150.0,12351.400000000021
2026-01-21 06:50:00,LONG,4786.51,4801.51,WIN,150.0,12501.400000000021
2026-01-21 07:00:00,LONG,4792.54,4807.54,WIN,150.0,12651.400000000021
2026-01-21 07:10:00,LONG,4807.84,4822.84,WIN,150.0,12801.400000000021
2026-01-21 07:15:00,LONG,4813.08,4828.08,WIN,150.0,12951.400000000021
2026-01-21 07:25:00,LONG,4827.51,4842.51,WIN,150.0,13101.400000000021
2026-01-21 07:50:00,LONG,4844.15,4859.15,WIN,150.0,13251.400000000021
2026-01-21 19:05:00,LONG,4868.9,4863.9,LOSS,-50.0,13201.400000000021
2026-01-21 19:30:00,LONG,4871.53,4866.53,LOSS,-50.0,13151.400000000021
2026-01-21 19:35:00,LONG,4878.35,4873.35,LOSS,-50.0,13101.400000000021
2026-01-22 00:45:00,LONG,4843.11,4838.11,LOSS,-50.0,13051.400000000021
2026-01-22 00:55:00,LONG,4850.15,4845.15,LOSS,-50.0,13001.400000000021
2026-01-22 05:00:00,SHORT,4815.28,4800.28,WIN,150.0,13151.400000000021
2026-01-22 05:05:00,SHORT,4802.93,4787.93,WIN,150.0,13301.400000000021
2026-01-22 05:20:00,SHORT,4795.79,4789.95,LOSS,58.400000000001455,13359.800000000023
2026-01-22 05:55:00,SHORT,4778.0,4783.0,LOSS,-50.0,13309.800000000023
2026-01-22 12:20:00,LONG,4827.66,4830.33,LOSS,26.700000000000728,13336.500000000024
2026-01-22 12:50:00,LONG,4821.66,4823.01,LOSS,13.500000000003638,13350.000000000027
2026-01-22 12:55:00,LONG,4826.73,4821.73,LOSS,-50.0,13300.000000000027
2026-01-22 13:00:00,LONG,4831.08,4826.08,LOSS,-50.0,13250.000000000027
2026-01-22 13:05:00,LONG,4834.54,4829.54,LOSS,-50.0,13200.000000000027
2026-01-22 13:15:00,LONG,4836.68,4831.68,LOSS,-50.0,13150.000000000027
2026-01-22 13:25:00,LONG,4837.24,4832.24,LOSS,-50.0,13100.000000000027
2026-01-22 18:00:00,SHORT,4824.92,4829.92,LOSS,-50.0,13050.000000000027
2026-01-22 18:55:00,SHORT,4819.59,4824.59,LOSS,-50.0,13000.000000000027
2026-01-22 21:25:00,LONG,4853.87,4868.87,WIN,150.0,13150.000000000027
2026-01-22 21:30:00,LONG,4863.69,4878.69,WIN,150.0,13300.000000000027
2026-01-22 23:30:00,LONG,4895.85,4910.85,WIN,150.0,13450.000000000027
2026-01-22 23:40:00,LONG,4898.97,4913.97,WIN,150.0,13600.000000000027
2026-01-23 03:25:00,LONG,4925.19,4940.19,WIN,150.0,13750.000000000027
2026-01-23 03:30:00,LONG,4936.12,4951.12,WIN,150.0,13900.000000000027
2026-01-23 03:40:00,LONG,4939.21,4950.85,LOSS,116.40000000000327,14016.40000000003
2026-01-23 05:00:00,LONG,4952.54,4955.01,LOSS,24.700000000002547,14041.100000000033
2026-01-23 05:10:00,LONG,4942.97,4949.2,LOSS,62.299999999995634,14103.400000000029
2026-01-23 05:30:00,LONG,4934.46,4949.46,WIN,150.0,14253.400000000029
2026-01-23 05:45:00,LONG,4951.15,4960.4,LOSS,92.5,14345.900000000029
2026-01-23 06:50:00,LONG,4958.1,4953.1,LOSS,-50.0,14295.900000000029
2026-01-23 06:55:00,LONG,4965.23,4960.23,LOSS,-50.0,14245.900000000029
2026-01-23 13:20:00,SHORT,4951.78,4936.78,WIN,150.0,14395.900000000029
2026-01-23 13:40:00,SHORT,4946.36,4931.36,WIN,150.0,14545.900000000029
2026-01-23 14:10:00,SHORT,4942.34,4927.34,WIN,150.0,14695.900000000029
2026-01-23 14:20:00,SHORT,4921.0,4916.04,LOSS,49.600000000000364,14745.50000000003
2026-01-23 22:05:00,LONG,4974.02,4976.92,LOSS,28.999999999996362,14774.500000000025
2026-01-23 22:15:00,LONG,4979.42,4974.42,LOSS,-50.0,14724.500000000025
2026-01-23 22:25:00,LONG,4985.56,4980.56,LOSS,-50.0,14674.500000000025
2026-01-23 22:45:00,LONG,4978.3,4982.22,LOSS,39.20000000000073,14713.700000000026
2026-01-24 01:45:00,LONG,4982.91,4997.91,WIN,150.0,14863.700000000026
2026-01-24 01:50:00,LONG,4988.67,5003.67,WIN,150.0,15013.700000000026
2026-01-26 05:15:00,LONG,5028.66,5043.66,WIN,150.0,15163.700000000026
2026-01-26 05:45:00,LONG,5034.02,5049.02,WIN,150.0,15313.700000000026
2026-01-26 05:50:00,LONG,5039.95,5054.95,WIN,150.0,15463.700000000026
2026-01-26 06:35:00,LONG,5049.82,5064.82,WIN,150.0,15613.700000000026
2026-01-26 20:20:00,LONG,5077.82,5092.82,WIN,150.0,15763.700000000026
